Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
"Saving Schools: History, Politics, and Policy of U.S. Education – School Choice",Paul Peterson,"Humanities, History, Design, Religion, and Education",1.08,Advanced,No Prerequisite,0.0,No,2015,18,No,Yes,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – School Choice, ""Level"": Advanced, ""Price"": Free, ""Duration"": 1.08, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",109.74,Advanced,No Prerequisite,0.0,Yes,2015,15,No,No,Yes,"""Title"": Justice, ""Level"": Advanced, ""Price"": Free, ""Duration"": 109.74, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Underactuated Robotics,"Russ Tedrake, Robin Deits, Twan Koolen","Science, Technology, Engineering, and Mathematics",45.06,Advanced,No Prerequisite,575.0,No,2015,18,No,Yes,Yes,"""Title"": Underactuated Robotics, ""Level"": Advanced, ""Price"": 575.0, ""Duration"": 45.06, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Principles of Synthetic Biology,"Adam Arkin, Ron Weiss","Science, Technology, Engineering, and Mathematics",83.14,Advanced,No Prerequisite,0.0,Yes,2015,15,No,Yes,Yes,"""Title"": Principles of Synthetic Biology, ""Level"": Advanced, ""Price"": Free, ""Duration"": 83.14, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",21.5,Advanced,No Prerequisite,825.0,No,2015,24,Yes,No,Yes,"""Title"": Evaluating Social Programs, ""Level"": Advanced, ""Price"": 825.0, ""Duration"": 21.5, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",109.0,Beginner,No Prerequisite,425.0,No,2015,21,No,No,Yes,"""Title"": Super-Earths and Life, ""Level"": Beginner, ""Price"": 425.0, ""Duration"": 109.0, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",20.12,Advanced,No Prerequisite,225.0,Yes,2015,16,Yes,No,Yes,"""Title"": Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids, ""Level"": Advanced, ""Price"": 225.0, ""Duration"": 20.12, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Data Analysis for Genomics: Statistics and R,Rafael Irizarry,"Government, Health, and Social Science",64.81,Advanced,No Prerequisite,825.0,No,2015,15,Yes,Yes,Yes,"""Title"": Data Analysis for Genomics: Statistics and R, ""Level"": Advanced, ""Price"": 825.0, ""Duration"": 64.81, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Atomic and Optical Physics: Atomic structure and atoms in external field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",9.8,Advanced,No Prerequisite,750.0,No,2015,12,No,No,Yes,"""Title"": Atomic and Optical Physics: Atomic structure and atoms in external field, ""Level"": Advanced, ""Price"": 750.0, ""Duration"": 9.8, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,167.8,Advanced,No Prerequisite,875.0,Yes,2015,24,Yes,Yes,Yes,"""Title"": Introduction to Computational Thinking and Data Science, ""Level"": Advanced, ""Price"": 875.0, ""Duration"": 167.8, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",25.68,Advanced,No Prerequisite,775.0,No,2015,9,No,No,Yes,"""Title"": Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists, ""Level"": Advanced, ""Price"": 775.0, ""Duration"": 25.68, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
The Creation and End of Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",6.84,Advanced,No Prerequisite,0.0,Yes,2015,7,No,Yes,Yes,"""Title"": The Creation and End of Centralized Empire, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.84, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3.44,Advanced,No Prerequisite,375.0,Yes,2015,19,No,Yes,Yes,"""Title"": Cosmopolitan Tang: Aristocratic Culture, ""Level"": Advanced, ""Price"": 375.0, ""Duration"": 3.44, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Literati China: Examinations and Neo-Confucianism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3.11,Advanced,No Prerequisite,0.0,Yes,2015,11,No,Yes,Yes,"""Title"": Literati China: Examinations and Neo-Confucianism, ""Level"": Advanced, ""Price"": Free, ""Duration"": 3.11, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2.27,Advanced,No Prerequisite,300.0,Yes,2015,8,Yes,No,Yes,"""Title"": From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty, ""Level"": Advanced, ""Price"": 300.0, ""Duration"": 2.27, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",30.39,Advanced,No Prerequisite,575.0,No,2015,18,No,Yes,Yes,"""Title"": Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing, ""Level"": Advanced, ""Price"": 575.0, ""Duration"": 30.39, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Molecular Biology: Transcription and Transposition,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",47.23,Advanced,No Prerequisite,675.0,Yes,2015,8,No,No,Yes,"""Title"": Molecular Biology: Transcription and Transposition, ""Level"": Advanced, ""Price"": 675.0, ""Duration"": 47.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4.94,Advanced,No Prerequisite,0.0,Yes,2015,8,No,Yes,Yes,"""Title"": Greater China Today: The People's Republic, Taiwan, and Hong Kong, ""Level"": Advanced, ""Price"": Free, ""Duration"": 4.94, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
The Manchus and the Qing Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",3.66,Advanced,No Prerequisite,425.0,No,2015,20,Yes,Yes,Yes,"""Title"": The Manchus and the Qing Dynasty, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 3.66, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Invasions, Rebellions and the Fall of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2.03,Advanced,No Prerequisite,825.0,Yes,2015,3,Yes,Yes,Yes,"""Title"": Invasions, Rebellions and the Fall of Imperial China, ""Level"": Advanced, ""Price"": 825.0, ""Duration"": 2.03, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Creating Modern China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2.02,Advanced,No Prerequisite,0.0,Yes,2015,19,No,Yes,Yes,"""Title"": Creating Modern China: The Birth of a Nation, ""Level"": Advanced, ""Price"": Free, ""Duration"": 2.02, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
China and Communism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",1.95,Advanced,No Prerequisite,0.0,Yes,2015,19,No,No,Yes,"""Title"": China and Communism, ""Level"": Advanced, ""Price"": Free, ""Duration"": 1.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",18.37,Advanced,No Prerequisite,0.0,No,2015,3,No,Yes,Yes,"""Title"": Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity, ""Level"": Advanced, ""Price"": Free, ""Duration"": 18.37, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",14.81,Advanced,No Prerequisite,950.0,Yes,2015,13,No,Yes,Yes,"""Title"": Mechanical Behavior of Materials: Time Dependent Behavior and Failure, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 14.81, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Data Analysis for Genomics: Matrix Algebra and Linear Models,Rafael Irizarry,"Government, Health, and Social Science",10.6,Advanced,No Prerequisite,0.0,No,2015,15,No,No,Yes,"""Title"": Data Analysis for Genomics: Matrix Algebra and Linear Models, ""Level"": Advanced, ""Price"": Free, ""Duration"": 10.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
First Nights: Handel’s Messiah and Baroque Oratorio,Tom Kelly,"Humanities, History, Design, Religion, and Education",12.87,Advanced,No Prerequisite,0.0,Yes,2015,3,No,Yes,Yes,"""Title"": First Nights: Handel’s Messiah and Baroque Oratorio, ""Level"": Advanced, ""Price"": Free, ""Duration"": 12.87, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",6.44,Advanced,No Prerequisite,0.0,Yes,2015,10,No,No,Yes,"""Title"": Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field, ""Level"": Advanced, ""Price"": Free, ""Duration"": 6.44, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,56.13,Advanced,No Prerequisite,825.0,Yes,2015,25,Yes,No,Yes,"""Title"": Computation Structures: Computer Architecture, ""Level"": Advanced, ""Price"": 825.0, ""Duration"": 56.13, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Philosophy: Minds and Machines,Alex Byrne,"Humanities, History, Design, Religion, and Education",94.63,Advanced,No Prerequisite,0.0,Yes,2015,22,No,Yes,Yes,"""Title"": Philosophy: Minds and Machines, ""Level"": Advanced, ""Price"": Free, ""Duration"": 94.63, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Calculus: Integration,David Jerison,"Science, Technology, Engineering, and Mathematics",114.85,Advanced,No Prerequisite,0.0,No,2015,8,No,Yes,Yes,"""Title"": Calculus: Integration, ""Level"": Advanced, ""Price"": Free, ""Duration"": 114.85, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Lessons from Ebola: Preventing the Next Pandemic,Ashish Jha,"Government, Health, and Social Science",14.21,Advanced,No Prerequisite,0.0,No,2015,7,No,No,Yes,"""Title"": Lessons from Ebola: Preventing the Next Pandemic, ""Level"": Advanced, ""Price"": Free, ""Duration"": 14.21, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",3.88,Advanced,No Prerequisite,0.0,No,2015,22,No,No,Yes,"""Title"": Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions, ""Level"": Advanced, ""Price"": Free, ""Duration"": 3.88, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,Rafael Irizarry,"Government, Health, and Social Science",8.89,Advanced,No Prerequisite,500.0,Yes,2015,7,Yes,No,Yes,"""Title"": Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments, ""Level"": Advanced, ""Price"": 500.0, ""Duration"": 8.89, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Computer Science (2016),,Computer Science,708.69,Beginner,No Prerequisite,0.0,Yes,2016,8,No,No,Yes,"""Title"": Introduction to Computer Science (2016), ""Level"": Beginner, ""Price"": Free, ""Duration"": 708.69, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Introduction to Feedback Control Theory,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",21.3,Advanced,No Prerequisite,775.0,No,2016,15,No,No,Yes,"""Title"": Introduction to Feedback Control Theory, ""Level"": Advanced, ""Price"": 775.0, ""Duration"": 21.3, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",97.71,Advanced,No Prerequisite,0.0,No,2016,20,No,No,Yes,"""Title"": Contracts Law: From Trust to Promise to Contract, ""Level"": Advanced, ""Price"": Free, ""Duration"": 97.71, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 20 to 21 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Advanced Introductory Classical Mechanics,"David E. Pritchard, Chris Chudzicki, Zhongzhou Chen","Science, Technology, Engineering, and Mathematics",53.1,Beginner,No Prerequisite,950.0,Yes,2016,22,No,No,Yes,"""Title"": Advanced Introductory Classical Mechanics, ""Level"": Beginner, ""Price"": 950.0, ""Duration"": 53.1, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,248.96,Advanced,No Prerequisite,0.0,No,2016,15,No,No,Yes,"""Title"": Introduction to Computer Science and Programming Using Python, ""Level"": Advanced, ""Price"": Free, ""Duration"": 248.96, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,Rafael Irizarry,"Government, Health, and Social Science",8.21,Advanced,No Prerequisite,0.0,No,2016,9,No,Yes,Yes,"""Title"": Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis, ""Level"": Advanced, ""Price"": Free, ""Duration"": 8.21, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Atomic and Optical Physics: Coherence,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",2.6,Advanced,No Prerequisite,0.0,Yes,2016,10,No,No,Yes,"""Title"": Atomic and Optical Physics: Coherence, ""Level"": Advanced, ""Price"": Free, ""Duration"": 2.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Don Goldmann, Dave Williams, Don Berwick","Government, Health, and Social Science",19.79,Advanced,No Prerequisite,0.0,No,2016,23,No,Yes,Yes,"""Title"": Practical Improvement Science in Health Care: A Roadmap for Getting Results, ""Level"": Advanced, ""Price"": Free, ""Duration"": 19.79, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
First Nights: Beethoven's 9th Symphony,Tom Kelly,"Humanities, History, Design, Religion, and Education",19.23,Advanced,No Prerequisite,850.0,No,2016,19,No,Yes,Yes,"""Title"": First Nights: Beethoven's 9th Symphony, ""Level"": Advanced, ""Price"": 850.0, ""Duration"": 19.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Readings in Global Health,David Hunter,"Government, Health, and Social Science",29.9,Advanced,No Prerequisite,0.0,Yes,2016,3,No,No,Yes,"""Title"": Readings in Global Health, ""Level"": Advanced, ""Price"": Free, ""Duration"": 29.9, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",45.76,Advanced,No Prerequisite,0.0,No,2016,18,No,No,No,"""Title"": Becoming an Entrepreneur, ""Level"": Advanced, ""Price"": Free, ""Duration"": 45.76, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 18 to 19 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": No, ""Metadata"": Government, Health, and Social Science"
"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",16.98,Advanced,No Prerequisite,450.0,Yes,2016,13,No,Yes,Yes,"""Title"": Cellular Solids: Structures, Properties and Engineering Applications, ""Level"": Advanced, ""Price"": 450.0, ""Duration"": 16.98, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2016 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
